,Title,Category,Latitude,Longitude,geometry,county,subcounty,ward,centroid
1094,Skynet Agrovet,Agrochemicals supplier,0.890232,34.926071,POINT (34.926071 0.890232),TRANS NZOIA,Kiminini  Sub County,Kiminini Ward,POINT (34.939944520288535 0.8923167836331245)
1095,Mkulima Agro-vet By John Bosire,Agrochemicals supplier,0.7841887,34.789246,POINT (34.789246 0.7841887),Bungoma,Kimilili Sub County,Kamukuywa Ward,POINT (34.78840265700599 0.8013527479755483)
1096,Itete Trading Ltd,Agricultural service,1.0169906,35.0021607,POINT (35.0021607 1.0169906),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1097,Dzikufu Investment And Agrovet,Kitale - Suam Rd,1.2003331,34.8132668,POINT (34.8132668 1.2003331),TRANS NZOIA,Endebess Sub County,Chepchoina Ward,POINT (34.772140396767135 1.1795398430073292)
1098,Anifarm Agrovet,Animals,0.874746,35.1203866,POINT (35.1203866 0.874746),Uasin Gishu,Soy Sub County,Moi's Bridge Ward,POINT (35.1668646430247 0.8910557301730416)
1099,EBENEZER AGROVET,Veterinary care,1.1333155,34.8347224,POINT (34.8347224 1.1333155),TRANS NZOIA,Endebess Sub County,Chepchoina Ward,POINT (34.772140396767135 1.1795398430073292)
1100,Mbugua Bros Agrovet,Veterinary care,1.0154188,35.0023227,POINT (35.0023227 1.0154188),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1101,Happy Farm Agrovet,Agrochemicals supplier,1.259451,35.0983138,POINT (35.0983138 1.259451),WEST POKOT,West Pokot Sub County,Kapenguria Ward,POINT (35.120238938613156 1.3144333733622817)
1102,Paves Vetagro Limited,Agricultural service,1.2587761,35.0964586,POINT (35.0964586 1.2587761),WEST POKOT,West Pokot Sub County,Kapenguria Ward,POINT (35.120238938613156 1.3144333733622817)
1103,Mkulima Hodari Agrovet,Veterinary care,1.020961,35.0004405,POINT (35.0004405 1.020961),TRANS NZOIA,Saboti  Sub County,Tuwani Ward,POINT (34.990470961186595 1.0264236024324973)
1104,Allutah's Agrovet Kamukuywa,Agrochemicals supplier,0.7795364,34.7896832,POINT (34.7896832 0.7795364),Bungoma,Kimilili Sub County,Kamukuywa Ward,POINT (34.78840265700599 0.8013527479755483)
1105,KAWANGWARE 46 AGROVET,Veterinary care,0.9072876,35.48589,POINT (35.48589 0.9072876),ELGEYO-MARAKWET,Marakwet West Sub County,Moiben Kuserwo Ward,POINT (35.4969736561162 0.928755489263844)
1106,Broadways Agrovet,2XFX+7R2,1.0231386,34.9995017,POINT (34.9995017 1.0231386),TRANS NZOIA,Saboti  Sub County,Tuwani Ward,POINT (34.990470961186595 1.0264236024324973)
1107,Chesemwo Agrovet,Veterinary pharmacy,0.9342907,35.2738301,POINT (35.2738301 0.9342907),TRANS NZOIA,Cherangany Sub County,Chepsiro/kiptoror Ward,POINT (35.30269489311595 0.9661555835244431)
1108,Agrovet,Veterinary care,0.7622082,35.2965308,POINT (35.2965308 0.7622082),Uasin Gishu,Soy Sub County,Soy Ward,POINT (35.244756941761835 0.7133697763216578)
1109,Kelthakas Agrovet,"2282+5R9, Moi Ave",1.015407,35.0021195,POINT (35.0021195 1.015407),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1110,HIGHWAY AGROVET,Veterinary care,0.9868405,35.1238376,POINT (35.1238376 0.9868405),TRANS NZOIA,Cherangany Sub County,Kaplamai Ward,POINT (35.10691439662863 0.9744931067666404)
1111,Ministry Of Agriculture Trans-Nzoia County,Government office,1.0154104,34.9945463,POINT (34.9945463 1.0154104),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1112,LUNAR AGROVET,Veterinary care,0.828728,34.454996,POINT (34.454996 0.828728),Bungoma,Cheptais Sub County,Cheptais Ward,POINT (34.44767711571493 0.8326663775521115)
1113,LUCHENDI AGROVET,Veterinary care,0.7848467,34.7574553,POINT (34.7574553 0.7848467),Bungoma,Kimilili Sub County,Maeni Ward,POINT (34.74813173407034 0.8031010483956622)
1114,Lodwala Agrovet,2292+3P6,1.0176597,35.0017655,POINT (35.0017655 1.0176597),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1115,Hecter Farm Agrovet & Farminputs,Farmers' market,1.1856495,34.826986,POINT (34.826986 1.1856495),TRANS NZOIA,Endebess Sub County,Chepchoina Ward,POINT (34.772140396767135 1.1795398430073292)
1116,Rapha Agrovet,"22C2+3Q7, Koinange Road",1.0201699,35.0019264,POINT (35.0019264 1.0201699),TRANS NZOIA,Kwanza  Sub County,Bidii Ward,POINT (35.01564522284264 1.0482045519961816)
1117,Kamur Agrovet,"2273+H3M, Moi Ave",1.0139597,35.0026622,POINT (35.0026622 1.0139597),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1118,Nabongo Agrovet,Agrochemicals supplier,1.0150266,35.0007345,POINT (35.0007345 1.0150266),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1119,Ndalu Agrovet,Agricultural production,0.8413255,34.9935583,POINT (34.9935583 0.8413255),Bungoma,Tongaren Sub County,Ndalu/ Tabani Ward,POINT (34.97785157303185 0.8492714661432289)
